"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 26, 2020","14.640","14.830","14.845","14.815","0.14K","-1.33%"
"Mar 25, 2020","14.837","14.715","14.715","14.455","0.26K","4.27%"
"Mar 24, 2020","14.229","13.360","14.075","13.360","0.18K","7.59%"
"Mar 23, 2020","13.225","12.900","13.165","12.900","0.14K","6.35%"
"Mar 22, 2020","12.435","12.643","12.662","12.290","-","0.70%"
"Mar 20, 2020","12.349","12.080","12.860","12.080","0.10K","2.08%"
"Mar 19, 2020","12.097","12.070","12.205","11.895","0.05K","3.08%"
"Mar 18, 2020","11.735","12.560","12.825","11.740","0.18K","-5.89%"
"Mar 17, 2020","12.469","12.550","12.710","12.415","0.19K","-2.37%"
"Mar 16, 2020","12.772","14.885","14.885","11.850","0.10K","-13.59%"
"Mar 15, 2020","14.780","14.655","15.245","14.655","-","2.24%"
"Mar 13, 2020","14.456","15.755","15.765","14.425","0.51K","-9.43%"
"Mar 12, 2020","15.961","16.430","16.615","15.600","0.05K","-4.59%"
"Mar 11, 2020","16.729","16.855","16.860","16.640","0.15K","-1.05%"
"Mar 10, 2020","16.906","16.850","17.145","16.765","0.10K","-0.56%"
"Mar 09, 2020","17.001","17.435","17.435","16.570","0.05K","-2.81%"
"Mar 08, 2020","17.492","17.343","17.600","17.343","-","1.61%"
"Mar 06, 2020","17.214","17.460","17.485","17.000","0.05K","-0.74%"
"Mar 05, 2020","17.342","17.155","17.405","17.120","0.07K","0.90%"
"Mar 04, 2020","17.187","17.190","17.245","17.050","0.07K","0.34%"
"Mar 03, 2020","17.129","16.875","17.320","16.740","0.31K","2.70%"
"Mar 02, 2020","16.679","16.495","16.975","16.390","0.52K","0.69%"
"Mar 01, 2020","16.565","16.625","16.710","16.445","-","1.09%"
"Feb 28, 2020","16.387","17.690","17.795","16.340","0.71K","-7.20%"
"Feb 27, 2020","17.658","17.865","18.080","17.580","13.50K","-0.99%"
"Feb 26, 2020","17.834","17.965","18.170","17.745","96.32K","-1.96%"
"Feb 25, 2020","18.191","18.625","18.640","17.820","153.70K","-3.63%"
"Feb 24, 2020","18.876","18.650","18.920","18.510","140.49K","1.22%"
"Feb 23, 2020","18.648","18.457","18.793","18.457","-","0.64%"
"Feb 21, 2020","18.530","18.360","18.625","18.335","114.90K","1.15%"
"Feb 20, 2020","18.319","18.425","18.440","18.205","98.11K","0.04%"
"Feb 19, 2020","18.311","18.155","18.450","18.135","93.64K","0.89%"
"Feb 18, 2020","18.150","17.725","18.215","17.670","129.96K","2.04%"
"Feb 17, 2020","17.788","17.712","17.863","17.703","-","0.40%"
"Feb 16, 2020","17.718","17.773","17.785","17.670","-","-0.09%"
"Feb 14, 2020","17.734","17.625","17.790","17.595","56.24K","0.65%"
"Feb 13, 2020","17.619","17.455","17.715","17.440","69.82K","0.70%"
"Feb 12, 2020","17.497","17.620","17.650","17.435","73.62K","-0.57%"
"Feb 11, 2020","17.597","17.755","17.800","17.550","70.84K","-1.06%"
"Feb 10, 2020","17.785","17.705","17.825","17.665","57.05K","0.33%"
"Feb 09, 2020","17.727","17.683","17.762","17.670","-","0.20%"
"Feb 07, 2020","17.692","17.810","17.855","17.605","68.87K","-0.71%"
"Feb 06, 2020","17.818","17.610","17.875","17.575","60.51K","1.23%"
"Feb 05, 2020","17.602","17.565","17.710","17.465","59.86K","0.23%"
"Feb 04, 2020","17.561","17.650","17.770","17.510","59.68K","-0.62%"
"Feb 03, 2020","17.670","18.100","18.125","17.580","83.12K","-2.20%"
"Feb 02, 2020","18.067","18.115","18.117","18.020","-","0.31%"
"Jan 31, 2020","18.012","17.825","18.090","17.760","63.34K","0.11%"
"Jan 30, 2020","17.992","17.540","18.040","17.520","96.96K","2.89%"
"Jan 29, 2020","17.487","17.440","17.575","17.280","63.16K","0.17%"
"Jan 28, 2020","17.458","18.095","18.115","17.420","110.54K","-3.31%"
"Jan 27, 2020","18.056","18.260","18.375","18.040","67.72K","-0.89%"
"Jan 26, 2020","18.218","18.115","18.370","18.115","-","0.58%"
"Jan 24, 2020","18.113","17.800","18.145","17.740","68.05K","1.59%"
"Jan 23, 2020","17.829","17.835","17.910","17.590","69.27K","0.01%"
"Jan 22, 2020","17.828","17.785","17.930","17.675","57.76K","0.11%"
"Jan 21, 2020","17.808","18.040","18.155","17.620","135.96K","-1.47%"
"Jan 20, 2020","18.073","18.045","18.133","18.003","-","0.17%"
"Jan 19, 2020","18.043","18.032","18.060","18.027","-","-0.17%"
"Jan 17, 2020","18.073","17.950","18.185","17.905","69.18K","0.75%"
"Jan 16, 2020","17.939","18.010","18.055","17.875","58.31K","-0.27%"
"Jan 15, 2020","17.988","17.800","18.055","17.755","73.76K","1.39%"
"Jan 14, 2020","17.742","17.975","17.985","17.690","84.39K","-1.41%"
"Jan 13, 2020","17.996","18.130","18.130","17.935","59.33K","-0.45%"
"Jan 12, 2020","18.078","18.135","18.150","18.052","-","-0.15%"
"Jan 10, 2020","18.105","17.920","18.175","17.860","80.66K","0.94%"
"Jan 09, 2020","17.936","18.120","18.225","17.815","101.36K","-1.27%"
"Jan 08, 2020","18.167","18.450","18.895","18.085","180.48K","-1.23%"
"Jan 07, 2020","18.393","18.185","18.470","17.975","111.96K","1.18%"
"Jan 06, 2020","18.179","18.170","18.550","18.045","136.41K","-0.18%"
"Jan 05, 2020","18.212","18.098","18.343","18.098","-","0.34%"
"Jan 03, 2020","18.151","18.070","18.325","18.040","110.02K","0.58%"
"Jan 02, 2020","18.046","17.905","18.150","17.830","90.11K","0.60%"
